"region","upplåtelseform","år","Antal"
"0305A0010","hyresrätt","2024",39
"0305A0010","bostadsrätt","2024",0
"0305A0010","äganderätt","2024",987
"0305A0010","uppgift saknas","2024",4
"0305B2010","hyresrätt","2024",170
"0305B2010","bostadsrätt","2024",112
"0305B2010","äganderätt","2024",571
"0305B2010","uppgift saknas","2024",0
"0305C1011","hyresrätt","2024",14
"0305C1011","bostadsrätt","2024",106
"0305C1011","äganderätt","2024",366
"0305C1011","uppgift saknas","2024",0
"0305C1012","hyresrätt","2024",7
"0305C1012","bostadsrätt","2024",26
"0305C1012","äganderätt","2024",538
"0305C1012","uppgift saknas","2024",0
"0305C1020","hyresrätt","2024",311
"0305C1020","bostadsrätt","2024",16
"0305C1020","äganderätt","2024",325
"0305C1020","uppgift saknas","2024",0
"0305C1030","hyresrätt","2024",413
"0305C1030","bostadsrätt","2024",248
"0305C1030","äganderätt","2024",707
"0305C1030","uppgift saknas","2024",0
"0305C1040","hyresrätt","2024",905
"0305C1040","bostadsrätt","2024",226
"0305C1040","äganderätt","2024",127
"0305C1040","uppgift saknas","2024",0
"0305C1050","hyresrätt","2024",19
"0305C1050","bostadsrätt","2024",128
"0305C1050","äganderätt","2024",646
"0305C1050","uppgift saknas","2024",0
"0305C1060","hyresrätt","2024",572
"0305C1060","bostadsrätt","2024",410
"0305C1060","äganderätt","2024",499
"0305C1060","uppgift saknas","2024",0
"0305C1070","hyresrätt","2024",2
"0305C1070","bostadsrätt","2024",120
"0305C1070","äganderätt","2024",518
"0305C1070","uppgift saknas","2024",0
"0305C1080","hyresrätt","2024",129
"0305C1080","bostadsrätt","2024",133
"0305C1080","äganderätt","2024",391
"0305C1080","uppgift saknas","2024",0
"Håbo (Centrala Bålsta-Mansängen)","hyresrätt","2024",905
"Håbo (Centrala Bålsta-Mansängen)","bostadsrätt","2024",226
"Håbo (Centrala Bålsta-Mansängen)","äganderätt","2024",127
"Håbo (Centrala Bålsta-Mansängen)","uppgift saknas","2024",0
"Håbo (Dyarne-Fånäs-Kalmarsand)","hyresrätt","2024",311
"Håbo (Dyarne-Fånäs-Kalmarsand)","bostadsrätt","2024",16
"Håbo (Dyarne-Fånäs-Kalmarsand)","äganderätt","2024",325
"Håbo (Dyarne-Fånäs-Kalmarsand)","uppgift saknas","2024",0
"Håbo (Håbo landsbygd)","hyresrätt","2024",39
"Håbo (Håbo landsbygd)","bostadsrätt","2024",0
"Håbo (Håbo landsbygd)","äganderätt","2024",987
"Håbo (Håbo landsbygd)","uppgift saknas","2024",4
"Håbo (Norra Ullevi-Södra Ullevi-Åsen)","hyresrätt","2024",2
"Håbo (Norra Ullevi-Södra Ullevi-Åsen)","bostadsrätt","2024",120
"Håbo (Norra Ullevi-Södra Ullevi-Åsen)","äganderätt","2024",518
"Håbo (Norra Ullevi-Södra Ullevi-Åsen)","uppgift saknas","2024",0
"Håbo (Skörby-Gillmarken-Åkerby)","hyresrätt","2024",19
"Håbo (Skörby-Gillmarken-Åkerby)","bostadsrätt","2024",128
"Håbo (Skörby-Gillmarken-Åkerby)","äganderätt","2024",646
"Håbo (Skörby-Gillmarken-Åkerby)","uppgift saknas","2024",0
"Håbo (Slottsskogen-Söderskogen)","hyresrätt","2024",170
"Håbo (Slottsskogen-Söderskogen)","bostadsrätt","2024",112
"Håbo (Slottsskogen-Söderskogen)","äganderätt","2024",571
"Håbo (Slottsskogen-Söderskogen)","uppgift saknas","2024",0
"Håbo (Södra Bålsta-Kalmar landsbygd)","hyresrätt","2024",21
"Håbo (Södra Bålsta-Kalmar landsbygd)","bostadsrätt","2024",132
"Håbo (Södra Bålsta-Kalmar landsbygd)","äganderätt","2024",904
"Håbo (Södra Bålsta-Kalmar landsbygd)","uppgift saknas","2024",0
"Håbo (Västerdalen-Eneby-Väppebyberget)","hyresrätt","2024",413
"Håbo (Västerdalen-Eneby-Väppebyberget)","bostadsrätt","2024",248
"Håbo (Västerdalen-Eneby-Väppebyberget)","äganderätt","2024",707
"Håbo (Västerdalen-Eneby-Väppebyberget)","uppgift saknas","2024",0
"Håbo (Västerhagen-Västerängen)","hyresrätt","2024",572
"Håbo (Västerhagen-Västerängen)","bostadsrätt","2024",410
"Håbo (Västerhagen-Västerängen)","äganderätt","2024",499
"Håbo (Västerhagen-Västerängen)","uppgift saknas","2024",0
"Håbo (Västerskog-Graneberg)","hyresrätt","2024",129
"Håbo (Västerskog-Graneberg)","bostadsrätt","2024",133
"Håbo (Västerskog-Graneberg)","äganderätt","2024",391
"Håbo (Västerskog-Graneberg)","uppgift saknas","2024",0
"0319A0010","hyresrätt","2024",131
"0319A0010","bostadsrätt","2024",20
"0319A0010","äganderätt","2024",626
"0319A0010","uppgift saknas","2024",1
"0319B2010","hyresrätt","2024",246
"0319B2010","bostadsrätt","2024",48
"0319B2010","äganderätt","2024",509
"0319B2010","uppgift saknas","2024",1
"0319C1010","hyresrätt","2024",139
"0319C1010","bostadsrätt","2024",6
"0319C1010","äganderätt","2024",690
"0319C1010","uppgift saknas","2024",0
"0319C1020","hyresrätt","2024",825
"0319C1020","bostadsrätt","2024",66
"0319C1020","äganderätt","2024",427
"0319C1020","uppgift saknas","2024",0
"0319C1030","hyresrätt","2024",286
"0319C1030","bostadsrätt","2024",151
"0319C1030","äganderätt","2024",576
"0319C1030","uppgift saknas","2024",0
"Älvkarleby (Skutskär centrala-Skutskär nordvästra)","hyresrätt","2024",825
"Älvkarleby (Skutskär centrala-Skutskär nordvästra)","bostadsrätt","2024",66
"Älvkarleby (Skutskär centrala-Skutskär nordvästra)","äganderätt","2024",427
"Älvkarleby (Skutskär centrala-Skutskär nordvästra)","uppgift saknas","2024",0
"Älvkarleby (Skutskär nordöstra)","hyresrätt","2024",286
"Älvkarleby (Skutskär nordöstra)","bostadsrätt","2024",151
"Älvkarleby (Skutskär nordöstra)","äganderätt","2024",576
"Älvkarleby (Skutskär nordöstra)","uppgift saknas","2024",0
"Älvkarleby (Skutskär södra)","hyresrätt","2024",139
"Älvkarleby (Skutskär södra)","bostadsrätt","2024",6
"Älvkarleby (Skutskär södra)","äganderätt","2024",690
"Älvkarleby (Skutskär södra)","uppgift saknas","2024",0
"Älvkarleby (Älvkarleby)","hyresrätt","2024",246
"Älvkarleby (Älvkarleby)","bostadsrätt","2024",48
"Älvkarleby (Älvkarleby)","äganderätt","2024",509
"Älvkarleby (Älvkarleby)","uppgift saknas","2024",1
"Älvkarleby (Älvkarlebys omland)","hyresrätt","2024",131
"Älvkarleby (Älvkarlebys omland)","bostadsrätt","2024",20
"Älvkarleby (Älvkarlebys omland)","äganderätt","2024",626
"Älvkarleby (Älvkarlebys omland)","uppgift saknas","2024",1
"0330A0010","hyresrätt","2024",56
"0330A0010","bostadsrätt","2024",0
"0330A0010","äganderätt","2024",618
"0330A0010","uppgift saknas","2024",2
"0330A0020","hyresrätt","2024",41
"0330A0020","bostadsrätt","2024",0
"0330A0020","äganderätt","2024",865
"0330A0020","uppgift saknas","2024",10
"0330A0030","hyresrätt","2024",8
"0330A0030","bostadsrätt","2024",0
"0330A0030","äganderätt","2024",466
"0330A0030","uppgift saknas","2024",2
"0330C1010","hyresrätt","2024",415
"0330C1010","bostadsrätt","2024",237
"0330C1010","äganderätt","2024",242
"0330C1010","uppgift saknas","2024",9
"0330C1020","hyresrätt","2024",769
"0330C1020","bostadsrätt","2024",501
"0330C1020","äganderätt","2024",404
"0330C1020","uppgift saknas","2024",9
"0330C1031","hyresrätt","2024",0
"0330C1031","bostadsrätt","2024",420
"0330C1031","äganderätt","2024",142
"0330C1031","uppgift saknas","2024",0
"0330C1032","hyresrätt","2024",880
"0330C1032","bostadsrätt","2024",519
"0330C1032","äganderätt","2024",51
"0330C1032","uppgift saknas","2024",0
"0330C1040","hyresrätt","2024",26
"0330C1040","bostadsrätt","2024",164
"0330C1040","äganderätt","2024",492
"0330C1040","uppgift saknas","2024",0
"0330C1050","hyresrätt","2024",2
"0330C1050","bostadsrätt","2024",206
"0330C1050","äganderätt","2024",241
"0330C1050","uppgift saknas","2024",0
"0330C1060","hyresrätt","2024",121
"0330C1060","bostadsrätt","2024",40
"0330C1060","äganderätt","2024",344
"0330C1060","uppgift saknas","2024",0
"0330C1070","hyresrätt","2024",134
"0330C1070","bostadsrätt","2024",309
"0330C1070","äganderätt","2024",355
"0330C1070","uppgift saknas","2024",0
"Knivsta (Alsike norra)","hyresrätt","2024",134
"Knivsta (Alsike norra)","bostadsrätt","2024",309
"Knivsta (Alsike norra)","äganderätt","2024",355
"Knivsta (Alsike norra)","uppgift saknas","2024",0
"Knivsta (Alsike östra)","hyresrätt","2024",123
"Knivsta (Alsike östra)","bostadsrätt","2024",246
"Knivsta (Alsike östra)","äganderätt","2024",585
"Knivsta (Alsike östra)","uppgift saknas","2024",0
"Knivsta (Knivsta centrala)","hyresrätt","2024",880
"Knivsta (Knivsta centrala)","bostadsrätt","2024",939
"Knivsta (Knivsta centrala)","äganderätt","2024",193
"Knivsta (Knivsta centrala)","uppgift saknas","2024",0
"Knivsta (Knivsta södra)","hyresrätt","2024",415
"Knivsta (Knivsta södra)","bostadsrätt","2024",237
"Knivsta (Knivsta södra)","äganderätt","2024",242
"Knivsta (Knivsta södra)","uppgift saknas","2024",9
"Knivsta (Knivsta västra)","hyresrätt","2024",769
"Knivsta (Knivsta västra)","bostadsrätt","2024",501
"Knivsta (Knivsta västra)","äganderätt","2024",404
"Knivsta (Knivsta västra)","uppgift saknas","2024",9
"Knivsta (Knivsta östra)","hyresrätt","2024",26
"Knivsta (Knivsta östra)","bostadsrätt","2024",164
"Knivsta (Knivsta östra)","äganderätt","2024",492
"Knivsta (Knivsta östra)","uppgift saknas","2024",0
"Knivsta (Lagga-Långhundra)","hyresrätt","2024",49
"Knivsta (Lagga-Långhundra)","bostadsrätt","2024",0
"Knivsta (Lagga-Långhundra)","äganderätt","2024",1331
"Knivsta (Lagga-Långhundra)","uppgift saknas","2024",12
"Knivsta (Vassunda)","hyresrätt","2024",56
"Knivsta (Vassunda)","bostadsrätt","2024",0
"Knivsta (Vassunda)","äganderätt","2024",618
"Knivsta (Vassunda)","uppgift saknas","2024",2
"0331A0010","hyresrätt","2024",55
"0331A0010","bostadsrätt","2024",30
"0331A0010","äganderätt","2024",395
"0331A0010","uppgift saknas","2024",0
"0331A0020","hyresrätt","2024",89
"0331A0020","bostadsrätt","2024",14
"0331A0020","äganderätt","2024",731
"0331A0020","uppgift saknas","2024",0
"0331A0030","hyresrätt","2024",165
"0331A0030","bostadsrätt","2024",10
"0331A0030","äganderätt","2024",558
"0331A0030","uppgift saknas","2024",0
"0331A0040","hyresrätt","2024",5
"0331A0040","bostadsrätt","2024",39
"0331A0040","äganderätt","2024",356
"0331A0040","uppgift saknas","2024",0
"0331A0050","hyresrätt","2024",3
"0331A0050","bostadsrätt","2024",0
"0331A0050","äganderätt","2024",418
"0331A0050","uppgift saknas","2024",0
"0331B2010","hyresrätt","2024",389
"0331B2010","bostadsrätt","2024",63
"0331B2010","äganderätt","2024",549
"0331B2010","uppgift saknas","2024",0
"0331B3010","hyresrätt","2024",293
"0331B3010","bostadsrätt","2024",149
"0331B3010","äganderätt","2024",358
"0331B3010","uppgift saknas","2024",0
"0331B4010","hyresrätt","2024",301
"0331B4010","bostadsrätt","2024",20
"0331B4010","äganderätt","2024",392
"0331B4010","uppgift saknas","2024",0
"0331C1010","hyresrätt","2024",322
"0331C1010","bostadsrätt","2024",98
"0331C1010","äganderätt","2024",429
"0331C1010","uppgift saknas","2024",0
"0331C1020","hyresrätt","2024",209
"0331C1020","bostadsrätt","2024",157
"0331C1020","äganderätt","2024",324
"0331C1020","uppgift saknas","2024",0
"Heby (Heby omland)","hyresrätt","2024",89
"Heby (Heby omland)","bostadsrätt","2024",14
"Heby (Heby omland)","äganderätt","2024",731
"Heby (Heby omland)","uppgift saknas","2024",0
"Heby (Heby västra)","hyresrätt","2024",322
"Heby (Heby västra)","bostadsrätt","2024",98
"Heby (Heby västra)","äganderätt","2024",429
"Heby (Heby västra)","uppgift saknas","2024",0
"Heby (Heby östra)","hyresrätt","2024",209
"Heby (Heby östra)","bostadsrätt","2024",157
"Heby (Heby östra)","äganderätt","2024",324
"Heby (Heby östra)","uppgift saknas","2024",0
"Heby (Morgongåva tätort)","hyresrätt","2024",293
"Heby (Morgongåva tätort)","bostadsrätt","2024",149
"Heby (Morgongåva tätort)","äganderätt","2024",358
"Heby (Morgongåva tätort)","uppgift saknas","2024",0
"Heby (Nora-Harbo omland)","hyresrätt","2024",170
"Heby (Nora-Harbo omland)","bostadsrätt","2024",49
"Heby (Nora-Harbo omland)","äganderätt","2024",914
"Heby (Nora-Harbo omland)","uppgift saknas","2024",0
"Heby (Tärnsjö tätort)","hyresrätt","2024",301
"Heby (Tärnsjö tätort)","bostadsrätt","2024",20
"Heby (Tärnsjö tätort)","äganderätt","2024",392
"Heby (Tärnsjö tätort)","uppgift saknas","2024",0
"Heby (Vittinge omland)","hyresrätt","2024",55
"Heby (Vittinge omland)","bostadsrätt","2024",30
"Heby (Vittinge omland)","äganderätt","2024",395
"Heby (Vittinge omland)","uppgift saknas","2024",0
"Heby (Östervåla omland)","hyresrätt","2024",3
"Heby (Östervåla omland)","bostadsrätt","2024",0
"Heby (Östervåla omland)","äganderätt","2024",418
"Heby (Östervåla omland)","uppgift saknas","2024",0
"Heby (Östervåla tätort)","hyresrätt","2024",389
"Heby (Östervåla tätort)","bostadsrätt","2024",63
"Heby (Östervåla tätort)","äganderätt","2024",549
"Heby (Östervåla tätort)","uppgift saknas","2024",0
"0360A0010","hyresrätt","2024",39
"0360A0010","bostadsrätt","2024",0
"0360A0010","äganderätt","2024",396
"0360A0010","uppgift saknas","2024",0
"0360A0020","hyresrätt","2024",89
"0360A0020","bostadsrätt","2024",14
"0360A0020","äganderätt","2024",455
"0360A0020","uppgift saknas","2024",0
"0360A0030","hyresrätt","2024",166
"0360A0030","bostadsrätt","2024",39
"0360A0030","äganderätt","2024",423
"0360A0030","uppgift saknas","2024",0
"0360A0040","hyresrätt","2024",108
"0360A0040","bostadsrätt","2024",17
"0360A0040","äganderätt","2024",708
"0360A0040","uppgift saknas","2024",0
"0360A0050","hyresrätt","2024",200
"0360A0050","bostadsrätt","2024",55
"0360A0050","äganderätt","2024",590
"0360A0050","uppgift saknas","2024",2
"0360A0060","hyresrätt","2024",43
"0360A0060","bostadsrätt","2024",0
"0360A0060","äganderätt","2024",443
"0360A0060","uppgift saknas","2024",1
"0360A0070","hyresrätt","2024",50
"0360A0070","bostadsrätt","2024",0
"0360A0070","äganderätt","2024",449
"0360A0070","uppgift saknas","2024",2
"0360B2010","hyresrätt","2024",464
"0360B2010","bostadsrätt","2024",185
"0360B2010","äganderätt","2024",564
"0360B2010","uppgift saknas","2024",0
"0360B3010","hyresrätt","2024",469
"0360B3010","bostadsrätt","2024",48
"0360B3010","äganderätt","2024",356
"0360B3010","uppgift saknas","2024",0
"0360B4010","hyresrätt","2024",337
"0360B4010","bostadsrätt","2024",0
"0360B4010","äganderätt","2024",397
"0360B4010","uppgift saknas","2024",0
"0360C1010","hyresrätt","2024",1013
"0360C1010","bostadsrätt","2024",391
"0360C1010","äganderätt","2024",261
"0360C1010","uppgift saknas","2024",0
"0360C1020","hyresrätt","2024",436
"0360C1020","bostadsrätt","2024",235
"0360C1020","äganderätt","2024",422
"0360C1020","uppgift saknas","2024",0
"0360C1030","hyresrätt","2024",165
"0360C1030","bostadsrätt","2024",162
"0360C1030","äganderätt","2024",299
"0360C1030","uppgift saknas","2024",0
"Tierp (Karlholm)","hyresrätt","2024",337
"Tierp (Karlholm)","bostadsrätt","2024",0
"Tierp (Karlholm)","äganderätt","2024",397
"Tierp (Karlholm)","uppgift saknas","2024",0
"Tierp (Mehedeby-Tobo)","hyresrätt","2024",274
"Tierp (Mehedeby-Tobo)","bostadsrätt","2024",56
"Tierp (Mehedeby-Tobo)","äganderätt","2024",1131
"Tierp (Mehedeby-Tobo)","uppgift saknas","2024",0
"Tierp (Månkarbo-Vendel)","hyresrätt","2024",128
"Tierp (Månkarbo-Vendel)","bostadsrätt","2024",14
"Tierp (Månkarbo-Vendel)","äganderätt","2024",851
"Tierp (Månkarbo-Vendel)","uppgift saknas","2024",0
"Tierp (Skärplinge-Hållnäs)","hyresrätt","2024",250
"Tierp (Skärplinge-Hållnäs)","bostadsrätt","2024",55
"Tierp (Skärplinge-Hållnäs)","äganderätt","2024",1039
"Tierp (Skärplinge-Hållnäs)","uppgift saknas","2024",4
"Tierp (Söderfors)","hyresrätt","2024",469
"Tierp (Söderfors)","bostadsrätt","2024",48
"Tierp (Söderfors)","äganderätt","2024",356
"Tierp (Söderfors)","uppgift saknas","2024",0
"Tierp (Tierp Centrum-Tierp Norra)","hyresrätt","2024",601
"Tierp (Tierp Centrum-Tierp Norra)","bostadsrätt","2024",397
"Tierp (Tierp Centrum-Tierp Norra)","äganderätt","2024",721
"Tierp (Tierp Centrum-Tierp Norra)","uppgift saknas","2024",0
"Tierp (Tierp Södra)","hyresrätt","2024",1013
"Tierp (Tierp Södra)","bostadsrätt","2024",391
"Tierp (Tierp Södra)","äganderätt","2024",261
"Tierp (Tierp Södra)","uppgift saknas","2024",0
"Tierp (Västland)","hyresrätt","2024",43
"Tierp (Västland)","bostadsrätt","2024",0
"Tierp (Västland)","äganderätt","2024",443
"Tierp (Västland)","uppgift saknas","2024",1
"Tierp (Örbyhus)","hyresrätt","2024",464
"Tierp (Örbyhus)","bostadsrätt","2024",185
"Tierp (Örbyhus)","äganderätt","2024",564
"Tierp (Örbyhus)","uppgift saknas","2024",0
"0380A0010","hyresrätt","2024",58
"0380A0010","bostadsrätt","2024",0
"0380A0010","äganderätt","2024",562
"0380A0010","uppgift saknas","2024",0
"0380A0020","hyresrätt","2024",81
"0380A0020","bostadsrätt","2024",26
"0380A0020","äganderätt","2024",936
"0380A0020","uppgift saknas","2024",1
"0380A0030","hyresrätt","2024",94
"0380A0030","bostadsrätt","2024",39
"0380A0030","äganderätt","2024",620
"0380A0030","uppgift saknas","2024",0
"0380A0040","hyresrätt","2024",43
"0380A0040","bostadsrätt","2024",0
"0380A0040","äganderätt","2024",743
"0380A0040","uppgift saknas","2024",3
"0380A0050","hyresrätt","2024",158
"0380A0050","bostadsrätt","2024",15
"0380A0050","äganderätt","2024",692
"0380A0050","uppgift saknas","2024",0
"0380A0060","hyresrätt","2024",51
"0380A0060","bostadsrätt","2024",0
"0380A0060","äganderätt","2024",682
"0380A0060","uppgift saknas","2024",1
"0380A0070","hyresrätt","2024",60
"0380A0070","bostadsrätt","2024",45
"0380A0070","äganderätt","2024",528
"0380A0070","uppgift saknas","2024",0
"0380A0080","hyresrätt","2024",172
"0380A0080","bostadsrätt","2024",99
"0380A0080","äganderätt","2024",341
"0380A0080","uppgift saknas","2024",4
"0380A0090","hyresrätt","2024",32
"0380A0090","bostadsrätt","2024",18
"0380A0090","äganderätt","2024",469
"0380A0090","uppgift saknas","2024",0
"0380A0100","hyresrätt","2024",51
"0380A0100","bostadsrätt","2024",73
"0380A0100","äganderätt","2024",352
"0380A0100","uppgift saknas","2024",1
"0380A0110","hyresrätt","2024",5
"0380A0110","bostadsrätt","2024",0
"0380A0110","äganderätt","2024",382
"0380A0110","uppgift saknas","2024",0
"0380A0120","hyresrätt","2024",42
"0380A0120","bostadsrätt","2024",0
"0380A0120","äganderätt","2024",882
"0380A0120","uppgift saknas","2024",0
"0380A0130","hyresrätt","2024",22
"0380A0130","bostadsrätt","2024",0
"0380A0130","äganderätt","2024",667
"0380A0130","uppgift saknas","2024",2
"0380A0140","hyresrätt","2024",42
"0380A0140","bostadsrätt","2024",0
"0380A0140","äganderätt","2024",588
"0380A0140","uppgift saknas","2024",0
"0380A0150","hyresrätt","2024",37
"0380A0150","bostadsrätt","2024",39
"0380A0150","äganderätt","2024",935
"0380A0150","uppgift saknas","2024",5
"0380A0160","hyresrätt","2024",98
"0380A0160","bostadsrätt","2024",52
"0380A0160","äganderätt","2024",855
"0380A0160","uppgift saknas","2024",0
"0380B2010","hyresrätt","2024",105
"0380B2010","bostadsrätt","2024",149
"0380B2010","äganderätt","2024",358
"0380B2010","uppgift saknas","2024",0
"0380B2020","hyresrätt","2024",17
"0380B2020","bostadsrätt","2024",0
"0380B2020","äganderätt","2024",340
"0380B2020","uppgift saknas","2024",0
"0380B2030","hyresrätt","2024",39
"0380B2030","bostadsrätt","2024",0
"0380B2030","äganderätt","2024",563
"0380B2030","uppgift saknas","2024",0
"0380B2040","hyresrätt","2024",135
"0380B2040","bostadsrätt","2024",64
"0380B2040","äganderätt","2024",431
"0380B2040","uppgift saknas","2024",0
"0380B3010","hyresrätt","2024",2
"0380B3010","bostadsrätt","2024",0
"0380B3010","äganderätt","2024",472
"0380B3010","uppgift saknas","2024",0
"0380B3020","hyresrätt","2024",81
"0380B3020","bostadsrätt","2024",42
"0380B3020","äganderätt","2024",320
"0380B3020","uppgift saknas","2024",0
"0380B3030","hyresrätt","2024",16
"0380B3030","bostadsrätt","2024",0
"0380B3030","äganderätt","2024",480
"0380B3030","uppgift saknas","2024",0
"0380B4010","hyresrätt","2024",43
"0380B4010","bostadsrätt","2024",66
"0380B4010","äganderätt","2024",527
"0380B4010","uppgift saknas","2024",0
"0380B4020","hyresrätt","2024",168
"0380B4020","bostadsrätt","2024",42
"0380B4020","äganderätt","2024",491
"0380B4020","uppgift saknas","2024",0
"0380B5011","hyresrätt","2024",129
"0380B5011","bostadsrätt","2024",84
"0380B5011","äganderätt","2024",336
"0380B5011","uppgift saknas","2024",0
"0380B5012","hyresrätt","2024",83
"0380B5012","bostadsrätt","2024",44
"0380B5012","äganderätt","2024",455
"0380B5012","uppgift saknas","2024",0
"0380B6011","hyresrätt","2024",47
"0380B6011","bostadsrätt","2024",55
"0380B6011","äganderätt","2024",185
"0380B6011","uppgift saknas","2024",0
"0380B6012","hyresrätt","2024",11
"0380B6012","bostadsrätt","2024",26
"0380B6012","äganderätt","2024",204
"0380B6012","uppgift saknas","2024",0
"0380B7010","hyresrätt","2024",113
"0380B7010","bostadsrätt","2024",6
"0380B7010","äganderätt","2024",461
"0380B7010","uppgift saknas","2024",0
"0380B8010","hyresrätt","2024",133
"0380B8010","bostadsrätt","2024",71
"0380B8010","äganderätt","2024",343
"0380B8010","uppgift saknas","2024",0
"0380C1010","hyresrätt","2024",7
"0380C1010","bostadsrätt","2024",0
"0380C1010","äganderätt","2024",347
"0380C1010","uppgift saknas","2024",0
"0380C1020","hyresrätt","2024",41
"0380C1020","bostadsrätt","2024",29
"0380C1020","äganderätt","2024",458
"0380C1020","uppgift saknas","2024",0
"0380C1030","hyresrätt","2024",60
"0380C1030","bostadsrätt","2024",0
"0380C1030","äganderätt","2024",481
"0380C1030","uppgift saknas","2024",0
"0380C1040","hyresrätt","2024",30
"0380C1040","bostadsrätt","2024",88
"0380C1040","äganderätt","2024",454
"0380C1040","uppgift saknas","2024",0
"0380C1050","hyresrätt","2024",36
"0380C1050","bostadsrätt","2024",218
